name,id,frequent_build,winning_build
Annie, 1, (3020; 3027; 3089; 3135; 3157; 3285; 3340), (3020; 3027; 3089; 3135; 3157; 3285; 3340)
Olaf, 2, (1031; 3047; 3065; 3074; 3142; 3143; 3340), (3047; 3065; 3074; 3075; 3143; 3153; 3340)
Galio, 3, (1052; 1056; 1058; 3001; 3111; 3174; 3340), (1052; 1056; 1058; 3001; 3111; 3174; 3340)
TwistedFate, 4, (3020; 3089; 3100; 3135; 3157; 3285; 3340), (3020; 3089; 3100; 3135; 3157; 3285; 3340)
XinZhao, 5, (1011; 3068; 3082; 3117; 3153; 3340; 3707), (3067; 3068; 3117; 3153; 3211; 3340; 3710)
Urgot, 6, (3035; 3042; 3071; 3110; 3111; 3155; 3340), (3035; 3042; 3071; 3110; 3111; 3155; 3340)
Leblanc, 7, (3020; 3089; 3135; 3157; 3165; 3285; 3340), (3020; 3089; 3135; 3157; 3165; 3285; 3340)
Vladimir, 8, (1026; 1052; 1058; 3020; 3152; 3157; 3340), (1026; 1052; 1058; 3020; 3152; 3157; 3340)
FiddleSticks, 9, (1026; 1052; 1058; 3020; 3157; 3340; 3708), (1026; 1052; 3020; 3089; 3157; 3340; 3708)
Kayle, 10, (1026; 1052; 1056; 1058; 3020; 3115; 3340), (3006; 3085; 3089; 3115; 3135; 3340; 3726)
MasterYi, 11, (3006; 3031; 3035; 3087; 3153; 3340; 3710), (3006; 3031; 3035; 3087; 3153; 3340; 3710)
Alistar, 12, (2049; 3024; 3082; 3117; 3341; 3401; 3800), (2049; 3024; 3082; 3117; 3341; 3401; 3800)
Ryze, 13, (1026; 1052; 1058; 3020; 3027; 3040; 3340), (1026; 1052; 3020; 3027; 3040; 3157; 3340)
Sion, 14, (3047; 3065; 3075; 3083; 3110; 3211; 3340), (3047; 3065; 3075; 3083; 3110; 3211; 3340)
Sivir, 15, (1038; 1053; 1055; 3006; 3031; 3087; 3340), (1038; 1053; 1055; 3006; 3031; 3087; 3340)
Soraka, 16, (2049; 3024; 3069; 3082; 3158; 3190; 3341), (1058; 2049; 3069; 3158; 3174; 3340; 3504)
Teemo, 17, (1026; 1052; 1058; 3020; 3115; 3151; 3340), (1026; 1056; 1058; 3020; 3115; 3151; 3340)
Tristana, 18, (1038; 1053; 1055; 3006; 3031; 3046; 3340), (1038; 1053; 1055; 3006; 3031; 3046; 3340)
Warwick, 19, (1011; 1037; 3091; 3117; 3153; 3340; 3726), (1011; 1037; 3091; 3117; 3153; 3340; 3726)
Nunu, 20, (3075; 3117; 3143; 3151; 3340; 3717; 3800), (3075; 3117; 3143; 3151; 3340; 3717; 3800)
MissFortune, 21, (1038; 1053; 1055; 3006; 3031; 3087; 3340), (1038; 1053; 1055; 3006; 3031; 3087; 3340)
Ashe, 22, (1038; 1053; 1055; 3006; 3031; 3046; 3340), (1038; 1053; 1055; 3006; 3031; 3046; 3340)
Tryndamere, 23, (1018; 1037; 1038; 3006; 3087; 3153; 3340), (1036; 1037; 3006; 3031; 3087; 3153; 3340)
Jax, 24, (1028; 3078; 3111; 3143; 3153; 3211; 3340), (1011; 2041; 3078; 3082; 3111; 3153; 3340)
Morgana, 25, (1026; 1052; 1056; 1058; 3020; 3157; 3340), (1026; 1052; 1056; 1058; 3020; 3157; 3340)
Zilean, 26, (3023; 3040; 3089; 3135; 3157; 3158; 3340), (3089; 3135; 3157; 3158; 3174; 3285; 3340)
Singed, 27, (1031; 2041; 3027; 3111; 3116; 3151; 3340), (3040; 3047; 3075; 3102; 3116; 3151; 3361)
Evelynn, 28, (1028; 3117; 3143; 3153; 3211; 3340; 3707), (1028; 3117; 3143; 3153; 3211; 3340; 3707)
Twitch, 29, (1037; 1038; 1055; 3006; 3142; 3153; 3340), (1037; 1038; 1055; 3006; 3142; 3153; 3340)
Karthus, 30, (1026; 3020; 3027; 3040; 3089; 3157; 3340), (3020; 3040; 3089; 3116; 3135; 3157; 3340)
Chogath, 31, (1026; 1056; 1058; 3027; 3110; 3111; 3340), (1026; 1056; 1058; 3027; 3110; 3111; 3340)
Amumu, 32, (3001; 3047; 3110; 3151; 3157; 3340; 3725), (3001; 3047; 3110; 3151; 3157; 3340; 3725)
Rammus, 33, (1011; 3075; 3082; 3117; 3340; 3725; 3800), (3067; 3075; 3117; 3143; 3211; 3340; 3725)
Anivia, 34, (1026; 1056; 1058; 3020; 3027; 3040; 3340), (1026; 1056; 1058; 3020; 3027; 3040; 3340)
Shaco, 35, (1037; 1038; 3006; 3074; 3087; 3340; 3707), (1037; 1038; 3006; 3074; 3087; 3340; 3707)
DrMundo, 36, (3047; 3065; 3068; 3075; 3083; 3143; 3340), (3047; 3065; 3068; 3075; 3083; 3143; 3340)
