name,id,frequent_build,winning_build
Sona, 37, (2049; 3057; 3092; 3113; 3158; 3174; 3340), (2049; 3092; 3100; 3158; 3174; 3340; 3504)
Kassadin, 38, (3020; 3027; 3089; 3135; 3157; 3285; 3340), (3020; 3027; 3089; 3135; 3157; 3285; 3340)
Irelia, 39, (1031; 3047; 3065; 3078; 3143; 3153; 3340), (2041; 3078; 3111; 3143; 3153; 3211; 3340)
Janna, 40, (2049; 3069; 3110; 3117; 3190; 3222; 3341), (2049; 3069; 3110; 3117; 3190; 3222; 3364)
Gangplank, 41, (1038; 1053; 3031; 3078; 3087; 3158; 3340), (1038; 1053; 3031; 3078; 3087; 3158; 3340)
Corki, 42, (1036; 1037; 1055; 3020; 3078; 3153; 3340), (1053; 1055; 3020; 3031; 3035; 3078; 3340)
Karma, 43, (1052; 1056; 1058; 3020; 3165; 3285; 3340), (1052; 1058; 2049; 3020; 3092; 3165; 3341)
Taric, 44, (1031; 2049; 3047; 3065; 3068; 3340; 3401), (1011; 2049; 3047; 3068; 3082; 3341; 3401)
Veigar, 45, (3020; 3089; 3135; 3157; 3165; 3285; 3340), (3020; 3089; 3135; 3157; 3165; 3285; 3340)
Trundle, 48, (3065; 3075; 3111; 3143; 3153; 3340; 3718), (3065; 3075; 3111; 3143; 3153; 3340; 3710)
Swain, 50, (1026; 1056; 1058; 3020; 3027; 3157; 3340), (1026; 1056; 1058; 3020; 3027; 3157; 3340)
Caitlyn, 51, (1038; 1053; 1055; 3006; 3031; 3087; 3340), (1038; 1053; 1055; 3006; 3031; 3087; 3340)
Blitzcrank, 53, (1029; 1029; 2049; 3024; 3069; 3117; 3341), (1029; 1029; 2049; 3024; 3069; 3117; 3341)
Malphite, 54, (3047; 3068; 3075; 3102; 3110; 3143; 3340), (3025; 3047; 3068; 3075; 3110; 3143; 3340)
Katarina, 55, (1026; 1052; 1058; 3020; 3157; 3285; 3340), (1026; 1052; 3020; 3089; 3157; 3285; 3340)
Nocturne, 56, (3047; 3068; 3143; 3153; 3211; 3340; 3710), (3117; 3142; 3143; 3153; 3211; 3340; 3722)
Maokai, 57, (1056; 3047; 3067; 3110; 3211; 3340; 3800), (1056; 3047; 3067; 3110; 3211; 3340; 3800)
Renekton, 58, (3065; 3071; 3074; 3075; 3111; 3143; 3340), (3065; 3071; 3074; 3075; 3111; 3143; 3361)
JarvanIV, 59, (1028; 3071; 3117; 3143; 3211; 3340; 3707), (3071; 3110; 3117; 3143; 3190; 3340; 3707)
Elise, 60, (3001; 3020; 3110; 3116; 3151; 3340; 3708), (3020; 3024; 3082; 3116; 3151; 3340; 3708)
Orianna, 61, (1026; 1052; 1056; 1058; 3020; 3174; 3340), (1058; 3020; 3089; 3135; 3157; 3174; 3340)
MonkeyKing, 62, (3035; 3071; 3074; 3102; 3111; 3143; 3340), (3035; 3071; 3074; 3117; 3143; 3340; 3707)
Brand, 63, (1026; 1056; 1058; 3020; 3151; 3285; 3340), (1026; 1056; 1058; 3020; 3151; 3285; 3340)
LeeSin, 64, (1028; 2049; 3117; 3143; 3211; 3340; 3707), (1011; 2049; 3071; 3082; 3117; 3340; 3707)
Vayne, 67, (1037; 1038; 1055; 3006; 3046; 3153; 3340), (1037; 1038; 1055; 3006; 3046; 3153; 3340)
Rumble, 68, (1026; 1052; 3020; 3116; 3151; 3157; 3340), (1026; 1058; 3020; 3116; 3151; 3157; 3340)
Cassiopeia, 69, (1026; 3020; 3040; 3089; 3157; 3285; 3340), (1026; 1058; 3020; 3040; 3157; 3285; 3340)
Skarner, 72, (3025; 3078; 3091; 3117; 3211; 3340; 3709), (1028; 3010; 3025; 3110; 3117; 3340; 3709)
Heimerdinger, 74, (1026; 1052; 1058; 3020; 3157; 3165; 3340), (1026; 1052; 1058; 3020; 3157; 3165; 3340)
Nasus, 75, (1011; 3065; 3078; 3082; 3110; 3111; 3340), (1011; 3065; 3078; 3082; 3110; 3111; 3340)
Nidalee, 76, (1026; 1052; 1058; 3020; 3027; 3340; 3724), (1026; 1052; 1058; 3020; 3027; 3340; 3724)
Udyr, 77, (3078; 3102; 3110; 3111; 3143; 3340; 3710), (3078; 3102; 3110; 3111; 3143; 3340; 3710)
Poppy, 78, (1053; 2041; 3047; 3078; 3145; 3153; 3340), (1036; 1037; 2041; 3047; 3078; 3153; 3340)
Gragas, 79, (3065; 3075; 3110; 3111; 3364; 3725; 3800), (3067; 3111; 3143; 3211; 3340; 3717; 3800)
Pantheon, 80, (1037; 2041; 3047; 3071; 3074; 3155; 3340), (3026; 3035; 3047; 3071; 3074; 3083; 3340)
Ezreal, 81, (1037; 1055; 3042; 3078; 3153; 3158; 3340), (1055; 3035; 3042; 3078; 3153; 3158; 3340)
Mordekaiser, 82, (3020; 3089; 3116; 3151; 3152; 3157; 3340), (3020; 3089; 3116; 3151; 3152; 3157; 3340)
Yorick, 83, (3042; 3067; 3078; 3110; 3111; 3211; 3340), (3042; 3065; 3078; 3110; 3111; 3361; 3508)
Akali, 84, (3020; 3089; 3100; 3116; 3146; 3157; 3340), (3020; 3089; 3100; 3116; 3146; 3157; 3340)
Kennen, 85, (1026; 1052; 1058; 3020; 3151; 3157; 3340), (1026; 1055; 1058; 3020; 3151; 3157; 3340)
Garen, 86, (3009; 3065; 3068; 3075; 3083; 3143; 3340), (3009; 3065; 3068; 3075; 3083; 3143; 3340)
Leona, 89, (1011; 2049; 3068; 3082; 3111; 3340; 3401), (1011; 2049; 3068; 3082; 3111; 3340; 3401)
Malzahar, 90, (1026; 1052; 1056; 1058; 3020; 3027; 3340), (1026; 1052; 1056; 1058; 3020; 3027; 3340)
Talon, 91, (1037; 1038; 3035; 3074; 3117; 3142; 3340), (1037; 1038; 3035; 3074; 3117; 3142; 3340)
Riven, 92, (1038; 1053; 3035; 3074; 3142; 3158; 3340), (1038; 1053; 3035; 3074; 3142; 3158; 3340)
KogMaw, 96, (3006; 3031; 3035; 3046; 3078; 3153; 3340), (3006; 3031; 3035; 3046; 3078; 3153; 3340)
Shen, 98, (3047; 3065; 3068; 3075; 3143; 3211; 3340), (3047; 3065; 3068; 3075; 3143; 3211; 3340)
Lux, 99, (3020; 3089; 3135; 3157; 3165; 3285; 3340), (3020; 3089; 3135; 3157; 3165; 3285; 3340)
Xerath, 101, (3020; 3089; 3135; 3157; 3165; 3285; 3340), (3020; 3089; 3135; 3157; 3165; 3285; 3340)
Shyvana, 102, (3047; 3065; 3068; 3143; 3153; 3340; 3718), (1028; 3111; 3143; 3153; 3211; 3340; 3718)
Ahri, 103, (3020; 3089; 3135; 3157; 3165; 3285; 3340), (3020; 3089; 3135; 3157; 3165; 3285; 3340)
Graves, 104, (1038; 1053; 1055; 3006; 3031; 3087; 3340), (3006; 3031; 3035; 3072; 3087; 3142; 3340)
Fizz, 105, (1026; 1052; 1058; 3020; 3100; 3157; 3340), (1026; 1056; 1058; 3020; 3100; 3157; 3340)
Volibear, 106, (3065; 3068; 3075; 3083; 3111; 3143; 3340), (3065; 3068; 3075; 3083; 3111; 3143; 3340)
Rengar, 107, (1037; 1038; 3035; 3074; 3142; 3158; 3340), (1037; 1038; 3035; 3074; 3142; 3158; 3340)
Varus, 110, (3006; 3031; 3035; 3072; 3085; 3087; 3340), (3006; 3026; 3031; 3035; 3072; 3087; 3340)
Nautilus, 111, (1028; 1033; 2049; 3117; 3341; 3401; 3800), (1011; 2049; 3082; 3117; 3341; 3401; 3800)
Viktor, 112, (3020; 3089; 3135; 3157; 3198; 3285; 3340), (3020; 3089; 3135; 3157; 3198; 3285; 3340)
Sejuani, 113, (3083; 3110; 3117; 3143; 3340; 3725; 3800), (3075; 3083; 3102; 3117; 3143; 3340; 3725)
Fiora, 114, (3006; 3031; 3035; 3072; 3074; 3142; 3340), (3006; 3031; 3035; 3072; 3074; 3142; 3340)
Ziggs, 115, (3020; 3089; 3135; 3157; 3174; 3285; 3340), (3020; 3089; 3135; 3157; 3174; 3285; 3340)
Lulu, 117, (1056; 3020; 3089; 3113; 3157; 3165; 3340), (2049; 3010; 3092; 3117; 3222; 3341; 3801)
Draven, 119, (3006; 3026; 3031; 3035; 3072; 3087; 3340), (3006; 3026; 3031; 3035; 3072; 3087; 3340)
Hecarim, 120, (2041; 3047; 3067; 3078; 3110; 3211; 3340), (1011; 3047; 3065; 3078; 3082; 3110; 3340)
Khazix, 121, (1036; 1037; 3071; 3074; 3117; 3340; 3707), (3035; 3071; 3074; 3117; 3143; 3340; 3707)
Darius, 122, (3047; 3068; 3074; 3075; 3083; 3143; 3340), (3044; 3068; 3074; 3102; 3111; 3143; 3340)
Jayce, 126, (1038; 1053; 3035; 3042; 3071; 3158; 3340), (1038; 1053; 3035; 3042; 3071; 3158; 3340)
Lissandra, 127, (1026; 1052; 1058; 3020; 3027; 3157; 3340), (1056; 1058; 3020; 3027; 3157; 3165; 3340)
Diana, 131, (3001; 3020; 3089; 3135; 3157; 3285; 3340), (3020; 3089; 3100; 3115; 3157; 3285; 3340)
Quinn, 133, (1038; 1053; 1055; 3006; 3031; 3087; 3340), (1038; 1053; 1055; 3006; 3031; 3087; 3340)
Syndra, 134, (3020; 3089; 3135; 3157; 3174; 3285; 3340), (3020; 3089; 3135; 3157; 3174; 3285; 3340)
Zyra, 143, (2049; 3020; 3092; 3135; 3151; 3157; 3364), (3020; 3089; 3116; 3151; 3157; 3285; 3340)
Gnar, 150, (1011; 1055; 3047; 3068; 3082; 3153; 3340), (1055; 3065; 3068; 3111; 3143; 3153; 3340)
Zac, 154, (3065; 3075; 3083; 3117; 3143; 3340; 3709), (3065; 3075; 3117; 3143; 3211; 3340; 3709)
Yasuo, 157, (3006; 3031; 3035; 3072; 3087; 3153; 3340), (3006; 3031; 3035; 3072; 3087; 3153; 3340)
Velkoz, 161, (3020; 3089; 3135; 3157; 3165; 3285; 3340), (3020; 3089; 3135; 3157; 3165; 3285; 3340)
Braum, 201, (1028; 1033; 2049; 3110; 3117; 3341; 3401), (1028; 1033; 2049; 3117; 3143; 3341; 3401)
Jinx, 222, (3006; 3031; 3035; 3046; 3072; 3087; 3340), (3006; 3031; 3035; 3046; 3072; 3087; 3340)
TahmKench, 223, (1031; 2049; 3009; 3341; 3401; 3751; 3800), (1031; 2049; 3009; 3341; 3401; 3751; 3800)
Lucian, 236, (1038; 1053; 1055; 3006; 3031; 3087; 3340), (1055; 3006; 3031; 3035; 3072; 3087; 3340)
Zed, 238, (1038; 1053; 3035; 3111; 3142; 3153; 3340), (1038; 1053; 3035; 3111; 3142; 3153; 3340)
Ekko, 245, (3020; 3089; 3100; 3135; 3157; 3285; 3340), (3020; 3089; 3100; 3157; 3165; 3285; 3340)
Vi, 254, (1028; 3047; 3078; 3143; 3211; 3340; 3707), (1028; 3047; 3078; 3143; 3211; 3340; 3707)
Aatrox, 266, (1055; 3047; 3074; 3143; 3153; 3211; 3340), (1055; 3047; 3074; 3143; 3153; 3211; 3340)
Nami, 267, (2049; 3092; 3110; 3117; 3190; 3222; 3341), (2049; 3092; 3110; 3117; 3190; 3222; 3341)
Azir, 268, (1026; 1052; 1056; 1058; 3020; 3165; 3340), (3020; 3089; 3135; 3157; 3165; 3285; 3361)
Thresh, 412, (1011; 2049; 3082; 3117; 3341; 3401; 3800), (1011; 2049; 3082; 3117; 3190; 3341; 3401)
RekSai, 421, (1031; 3065; 3074; 3111; 3143; 3340; 3707), (3065; 3071; 3075; 3111; 3143; 3361; 3709)
Kalista, 429, (1038; 1053; 1055; 3006; 3085; 3153; 3340), (1037; 1055; 3006; 3072; 3085; 3153; 3340)
Bard, 432, (2049; 3028; 3110; 3117; 3190; 3303; 3364), (2049; 3028; 3110; 3117; 3190; 3303; 3364)
