name,id,frequent_build,winning_build
AP Karma, 43, 1026;1056;1058;3020;3165;3285;3340, 1052;2049;3020;3092;3136;3165;3341
AP Taric, 44, 3025;3047;3068;3116;3211;3340;3401, 3025;3047;3068;3116;3211;3340;3401
AP Veigar, 45, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
AP Trundle, 48, 1037;1053;1055;2004;3025;3047;3340, 1037;1053;1055;2004;3025;3047;3340
AP Swain, 50, 1026;1056;1058;3020;3027;3157;3340, 1026;1056;1058;3020;3027;3157;3340
AP Blitzcrank, 53, 2049;3010;3025;3117;3301;3340;3801, 2049;3010;3025;3097;3117;3341;3801
AP Malphite, 54, 3001;3025;3047;3068;3110;3151;3340, 3001;3025;3047;3068;3110;3151;3340
AP Katarina, 55, 3001;3020;3089;3135;3157;3285;3340, 3001;3020;3089;3135;3157;3285;3340
AP Nocturne, 56, 1031;1033;3047;3078;3144;3340;3706, 
AP Maokai, 57, 1056;2003;2004;3027;3065;3111;3340, 1056;3025;3027;3065;3111;3340;3751
AP JarvanIV, 59, 3089;3100;3113;3117;3135;3157;3340, 1037;2003;2004;2041;3078;3111;3340
AP Elise, 60, 1026;3001;3020;3110;3151;3340;3717, 3100;3117;3151;3152;3285;3340;3708
AP Orianna, 61, 3020;3089;3135;3157;3174;3285;3340, 3020;3089;3135;3157;3174;3285;3340
AP MonkeyKing, 62, 2043;2138;3078;3117;3211;3340;3707, 2043;2138;3078;3117;3211;3340;3707
AP Brand, 63, 1026;1056;1058;3020;3151;3285;3340, 1026;1056;1058;3020;3151;3285;3340
AP LeeSin, 64, 3041;3041;3041;3041;3041;3041;3340, 3041;3041;3041;3041;3041;3041;3340
AP Vayne, 67, 1056;1056;1056;1056;1056;2004;3342, 1056;1056;1056;1056;1056;2004;3342
AP Rumble, 68, 1011;1026;1052;3020;3151;3157;3340, 3001;3020;3116;3135;3151;3157;3340
AP Cassiopeia, 69, 3020;3040;3089;3135;3157;3285;3340, 3020;3040;3089;3135;3157;3285;3340
AP Skarner, 72, 3078;3083;3091;3110;3111;3124;3340, 3078;3083;3091;3110;3111;3124;3340
AP Heimerdinger, 74, 1026;1056;1058;3020;3157;3165;3340, 1026;1056;1058;3020;3157;3165;3340
AP Nasus, 75, 3025;3065;3078;3110;3111;3143;3340, 3025;3065;3078;3110;3111;3143;3340
AP Nidalee, 76, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
AP Udyr, 77, 1029;1029;3024;3078;3111;3340;3709, 1029;1029;3024;3078;3111;3340;3709
AP Poppy, 78, 3078;3110;3146;3158;3211;3340;3800, 3078;3110;3146;3158;3211;3340;3800
AP Gragas, 79, 3020;3065;3068;3100;3157;3340;3708, 1026;1056;1058;3020;3027;3157;3340
AP Pantheon, 80, 1058;3089;3108;3117;3136;3285;3362, 1058;3089;3108;3117;3136;3285;3362
AP Ezreal, 81, 1036;1037;1055;3042;3078;3158;3340, 1036;1037;1055;3004;3078;3158;3340
AP Mordekaiser, 82, 3020;3089;3116;3151;3152;3157;3340, 3020;3089;3116;3152;3157;3285;3340
AP Yorick, 83, 3042;3072;3078;3083;3146;3158;3363, 3042;3072;3078;3083;3146;3158;3363
AP Akali, 84, 3020;3089;3100;3135;3146;3157;3340, 3020;3089;3100;3116;3146;3157;3340
AP Kennen, 85, 1052;1055;2003;3020;3136;3157;3340, 1026;3020;3089;3135;3151;3157;3340
AP Garen, 86, 1056;2003;2004;2041;2043;2044;3340, 
AP Leona, 89, 3027;3068;3116;3117;3143;3285;3340, 3027;3068;3116;3117;3143;3285;3340
AP Malzahar, 90, 3020;3027;3089;3135;3157;3285;3340, 3020;3027;3089;3135;3157;3285;3340
AP Talon, 91, 1036;2041;3078;3093;3134;3158;3340, 
AP Riven, 92, 1058;3135;3136;3158;3165;3340;3504, 1058;3135;3136;3158;3165;3340;3504
AP KogMaw, 96, 3020;3040;3089;3135;3157;3285;3363, 3020;3040;3089;3135;3157;3285;3363
AP Shen, 98, 1029;1031;1054;3047;3068;3078;3340, 3089;3100;3101;3116;3158;3285;3340
AP Lux, 99, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
AP Xerath, 101, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
AP Shyvana, 102, 3116;3135;3151;3152;3158;3285;3340, 3116;3135;3151;3152;3158;3285;3340
AP Ahri, 103, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
AP Graves, 104, 3001;3031;3072;3087;3089;3285;3340, 3001;3031;3072;3087;3089;3285;3340
AP Fizz, 105, 3020;3089;3100;3135;3157;3285;3340, 3020;3089;3100;3135;3157;3285;3340
AP Volibear, 106, 3078;3083;3116;3117;3340;3717;3801, 3078;3083;3116;3117;3340;3717;3801
AP Rengar, 107, 3089;3113;3135;3157;3158;3285;3341, 3089;3113;3135;3157;3158;3285;3341
AP Varus, 110, 3020;3089;3115;3135;3191;3285;3362, 3020;3089;3115;3135;3191;3285;3362
AP Nautilus, 111, 3001;3025;3116;3117;3151;3340;3725, 3001;3025;3116;3117;3151;3340;3725
AP Viktor, 112, 3020;3089;3135;3157;3198;3285;3340, 3020;3089;3135;3157;3198;3285;3340
AP Sejuani, 113, 3001;3110;3117;3151;3211;3340;3725, 3001;3110;3117;3151;3211;3340;3725
AP Fiora, 114, 1037;1053;1055;1055;3078;3158;3340, 
AP Ziggs, 115, 3020;3089;3135;3157;3174;3285;3340, 3020;3089;3135;3157;3174;3285;3340
AP Lulu, 117, 2004;2010;2049;3098;3108;3117;3341, 1026;1056;1058;3020;3165;3285;3340
AP Draven, 119, 1055;1055;2003;3006;3072;3078;3342, 1055;1055;2003;3006;3072;3078;3342
AP Hecarim, 120, 1028;1033;2041;3047;3078;3110;3340, 1029;2003;2041;3065;3078;3111;3340
AP Khazix, 121, 1036;1053;3101;3117;3134;3146;3340, 
AP Darius, 122, 2003;2004;3068;3078;3111;3155;3340, 2003;2004;3068;3078;3111;3155;3340
AP Lissandra, 127, 3020;3027;3089;3135;3157;3285;3340, 3020;3027;3089;3135;3157;3285;3340
AP Diana, 131, 3020;3089;3100;3135;3157;3285;3340, 3020;3089;3100;3135;3157;3285;3340
AP Quinn, 133, 1001;1053;2003;2004;2041;3078;3340, 
AP Syndra, 134, 3020;3089;3135;3157;3174;3285;3340, 3020;3089;3135;3157;3174;3285;3340
AP Zyra, 143, 3020;3089;3135;3151;3157;3285;3340, 3020;3089;3135;3151;3157;3285;3340
AP Gnar, 150, 1029;1031;1055;3047;3078;3143;3340, 1028;1033;1055;3068;3078;3111;3340
AP Zac, 154, 3116;3117;3143;3151;3152;3340;3717, 3116;3117;3143;3151;3152;3340;3717
AP Yasuo, 157, 1001;1055;2003;2044;3078;3087;3341, 1001;1055;2003;2044;3078;3087;3341
AP Velkoz, 161, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
AP Braum, 201, 1052;2045;3078;3101;3117;3341;3401, 1052;2045;3078;3101;3117;3341;3401
AP Jinx, 222, 1058;3041;3108;3108;3191;3191;3340, 
AP Lucian, 236, 1037;1038;1053;1055;3006;3078;3340, 1038;1055;2003;2004;3006;3078;3340
AP Zed, 238, 1001;1055;2003;3074;3078;3134;3340, 1001;1055;2003;3074;3078;3134;3340
AP Ekko, 245, 3020;3089;3100;3135;3157;3285;3340, 3020;3089;3100;3135;3157;3285;3340
AP Vi, 254, 1011;1029;1029;3047;3078;3340;3707, 1011;2003;3047;3078;3082;3340;3707
AP Aatrox, 266, 1011;3047;3082;3115;3153;3157;3340, 1011;3047;3082;3115;3153;3157;3340
AP Nami, 267, 2049;3092;3108;3113;3117;3222;3341, 2049;3092;3108;3113;3117;3222;3341
AP Azir, 268, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
AP Thresh, 412, 3060;3065;3068;3069;3111;3116;3340, 2049;3041;3117;3165;3285;3301;3340
AP RekSai, 421, 3113;3113;3113;3113;3113;3117;3341, 3108;3111;3114;3155;3157;3340;3707
AP Bard, 432, 2004;2010;2043;2049;3092;3117;3341, 2010;2049;3028;3092;3114;3117;3341
