name,id,frequent_build,winning_build
AP Annie, 1, 3020;3027;3089;3135;3157;3285;3340, 3020;3027;3089;3135;3157;3285;3340
AP Olaf, 2, 1055;2003;2004;3067;3078;3111;3340, 1028;1054;2041;3047;3077;3078;3340
AP Galio, 3, 3001;3065;3075;3111;3174;3285;3340, 3001;3065;3089;3111;3157;3174;3340
AP TwistedFate, 4, 3020;3089;3100;3135;3157;3285;3340, 3020;3089;3100;3135;3157;3285;3340
AP XinZhao, 5, 3100;3115;3117;3143;3157;3361;3710, 3100;3110;3111;3124;3157;3361;3708
AP Urgot, 6, 1001;2003;3024;3042;3078;3082;3340, 
AP Leblanc, 7, 3020;3089;3135;3157;3165;3285;3340, 3020;3089;3135;3157;3165;3285;3340
AP Vladimir, 8, 3020;3089;3135;3152;3157;3285;3340, 3020;3089;3135;3152;3157;3285;3340
AP FiddleSticks, 9, 1026;1052;3020;3089;3157;3340;3708, 1026;1052;3020;3089;3157;3340;3708
AP Kayle, 10, 1056;3020;3085;3089;3115;3157;3340, 1056;3020;3085;3089;3100;3115;3340
AP MasterYi, 11, 1058;1058;1058;1058;1058;1058;3364, 1058;1058;1058;1058;1058;1058;3364
AP Alistar, 12, 1052;1056;3100;3151;3158;3301;3361, 3089;3100;3111;3165;3211;3285;3340
AP Ryze, 13, 3020;3027;3040;3089;3135;3157;3340, 3020;3027;3040;3089;3135;3157;3340
AP Sion, 14, 3024;3116;3143;3151;3158;3363;3512, 3024;3116;3143;3151;3158;3363;3512
AP Sivir, 15, 2003;2004;2043;2044;2140;3157;3340, 
AP Soraka, 16, 2049;3069;3113;3114;3158;3174;3340, 2049;3041;3057;3069;3158;3285;3340
AP Teemo, 17, 3020;3085;3089;3115;3135;3151;3340, 3020;3089;3115;3135;3151;3165;3340
AP Tristana, 18, 3020;3041;3089;3135;3157;3285;3340, 3006;3041;3057;3089;3115;3157;3340
AP Warwick, 19, 3089;3091;3117;3146;3153;3340;3726, 3089;3091;3117;3146;3153;3340;3726
AP Nunu, 20, 3092;3111;3116;3143;3152;3211;3340, 3089;3117;3191;3285;3340;3708;3800
AP MissFortune, 21, 3089;3116;3151;3158;3165;3285;3362, 3020;3035;3089;3100;3157;3285;3340
AP Ashe, 22, 3020;3089;3089;3089;3135;3285;3361, 3020;3089;3089;3089;3135;3285;3361
AP Tryndamere, 23, 3035;3089;3100;3115;3157;3158;3340, 3035;3089;3100;3115;3157;3158;3362
AP Jax, 24, 1043;2003;2041;3047;3078;3144;3340, 1043;2003;2041;3047;3078;3144;3340
AP Morgana, 25, 1026;1056;1058;3020;3157;3165;3340, 3020;3089;3135;3157;3165;3285;3340
AP Zilean, 26, 1026;2049;3070;3158;3285;3303;3364, 3089;3135;3151;3157;3158;3285;3340
AP Singed, 27, 3027;3040;3075;3111;3116;3151;3340, 3027;3070;3075;3083;3111;3116;3340
AP Evelynn, 28, 3025;3102;3117;3143;3146;3340;3708, 3025;3102;3117;3143;3146;3340;3708
AP Twitch, 29, 1001;1042;1056;2003;2004;3157;3340, 
AP Karthus, 30, 3020;3027;3040;3089;3135;3157;3340, 3020;3027;3040;3089;3135;3157;3340
AP Chogath, 31, 1026;1056;1058;3027;3110;3111;3340, 1026;1056;1058;3027;3110;3111;3340
AP Amumu, 32, 3047;3110;3151;3157;3340;3725;3800, 3047;3110;3151;3157;3340;3725;3800
AP Rammus, 33, 1011;3001;3025;3075;3117;3340;3725, 3001;3027;3047;3075;3116;3363;3725
AP Anivia, 34, 3020;3027;3040;3089;3135;3157;3340, 3020;3027;3040;3089;3135;3157;3340
AP Shaco, 35, 1026;3040;3157;3158;3165;3285;3340, 3113;3117;3151;3157;3285;3340;3706
AP DrMundo, 36, 3047;3078;3083;3116;3151;3340;3709, 2053;3001;3068;3082;3117;3151;3340
AP Sona, 37, 2049;3057;3092;3113;3158;3340;3504, 2049;3092;3113;3158;3174;3340;3504
AP Kassadin, 38, 3020;3027;3089;3100;3157;3285;3340, 3020;3027;3089;3100;3157;3285;3340
AP Irelia, 39, 1011;2003;2041;3047;3078;3082;3340, 1042;1042;2041;3047;3078;3144;3340
AP Janna, 40, 2049;3041;3069;3108;3113;3117;3341, 2049;3041;3069;3113;3117;3341;3504
AP Gangplank, 41, 1036;1037;1053;3047;3078;3087;3340, 3089;3100;3135;3157;3158;3165;3361
AP Corki, 42, 1018;1037;1038;1055;3020;3078;3340, 1038;1055;2003;2004;3020;3078;3340
